RESTful GetServiceNameSetting time: 0s                       - [17/03/06 15:11:32][INFO][restful.servlet.searchUserdataServlet-83]
RESTful GetCustomerLevel time: 0s                            - [17/03/06 15:11:32][INFO][restful.servlet.searchUserdataServlet-121]
RESTful GetServiceNameCache time: 0s                         - [17/03/06 15:11:32][INFO][restful.servlet.searchUserdataServlet-135]
RESTful SetContactLog time: 0s                               - [17/03/06 15:11:32][INFO][restful.servlet.searchUserdataServlet-169]
updateStatus: start - RING                                   - [17/03/06 15:11:32][INFO][websocket.function.CommonFunction-420]
updateStatus: null - null                                    - [17/03/06 15:11:35][INFO][websocket.function.CommonFunction-420]
updateStatus: end - RING                                     - [17/03/06 15:11:35][INFO][websocket.function.CommonFunction-420]
updateStatus: start - IESTABLISHED                           - [17/03/06 15:11:35][INFO][websocket.function.CommonFunction-420]
updateStatus: end - NOTREADY                                 - [17/03/06 15:11:35][INFO][websocket.function.CommonFunction-420]
updateStatus: start - READY                                  - [17/03/06 15:11:35][INFO][websocket.function.CommonFunction-420]
A123456789 is disconnected. (onClose)                        - [17/03/06 15:12:20][INFO][websocket.WebSocket-64]
updateStatus: end - READY                                    - [17/03/06 15:12:21][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY                               - [17/03/06 15:12:21][INFO][websocket.function.CommonFunction-420]
updateStatus: start - AFTERCALLWORK                          - [17/03/06 15:12:22][INFO][websocket.function.CommonFunction-420]
updateStatus: end - AFTERCALLWORK                            - [17/03/06 15:12:24][INFO][websocket.function.CommonFunction-420]
updateStatus: end - LOGOUT                                   - [17/03/06 15:12:26][INFO][websocket.function.CommonFunction-420]
updateStatus: end - NOTREADY                                 - [17/03/06 15:12:26][INFO][websocket.function.CommonFunction-420]
updateStatus: end - READY                                    - [17/03/06 15:12:27][INFO][websocket.function.CommonFunction-420]
updateStatus: end - RING                                     - [17/03/06 15:12:27][INFO][websocket.function.CommonFunction-420]
林智凱 is disconnected. (onClose)                               - [17/03/06 15:12:27][INFO][websocket.WebSocket-64]
SqlSessionFactoryBuilder created.                            - [17/03/06 15:14:48][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 15:14:48][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@5a7e7376 is connected       - [17/03/06 15:14:59][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 15:14:59][INFO][websocket.HeartBeat-24]
updateStatus: start - LOGIN - 林智凱                            - [17/03/06 15:14:59][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY - 林智凱                         - [17/03/06 15:14:59][INFO][websocket.function.CommonFunction-420]
org.java_websocket.WebSocketImpl@44831670 is connected       - [17/03/06 15:16:22][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 15:16:22][INFO][websocket.HeartBeat-24]
updateStatus: start - LOGIN - 林智凱                            - [17/03/06 15:16:22][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY - 林智凱                         - [17/03/06 15:16:22][INFO][websocket.function.CommonFunction-420]
updateStatus: end - LOGOUT - 林智凱                             - [17/03/06 15:16:23][INFO][websocket.function.CommonFunction-420]
updateStatus: end - NOTREADY - 林智凱                           - [17/03/06 15:16:23][INFO][websocket.function.CommonFunction-420]
updateStatus: end - READY - 林智凱                              - [17/03/06 15:16:23][INFO][websocket.function.CommonFunction-420]
updateStatus: end - RING - 林智凱                               - [17/03/06 15:16:23][INFO][websocket.function.CommonFunction-420]
林智凱 is disconnected. (onClose)                               - [17/03/06 15:16:23][INFO][websocket.WebSocket-64]
org.java_websocket.WebSocketImpl@425b1f8f is connected       - [17/03/06 15:16:34][INFO][websocket.WebSocket-86]
林蔡 is connected. (HeartBeat)                                 - [17/03/06 15:16:34][INFO][websocket.HeartBeat-24]
updateStatus: start - LOGIN - 林蔡                             - [17/03/06 15:16:34][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY - 林蔡                          - [17/03/06 15:16:34][INFO][websocket.function.CommonFunction-420]
updateStatus: end - NOTREADY - 林蔡                            - [17/03/06 15:16:55][INFO][websocket.function.CommonFunction-420]
updateStatus: start - READY - 林蔡                             - [17/03/06 15:16:55][INFO][websocket.function.CommonFunction-420]
